Geneid	length	lib13	lib14	lib15	lib16	lib17	lib18	lib19	lib20
DDB_G0294004	2220	5.30783	2.2939	4.23283	6.7294	1.31331	0.805469	0.417271	0.70044
DDB_G0294006	414	0.0758046	0	0.135619	0	0.104648	0	0	0
DDB_G0294008	423	3.74073	1.22684	2.28372	2.54044	0.720021	0.729691	2.21592	1.75306
DDB_G0294010	1149	0.156914	0.0586465	0.0327308	0.0471352	0.0448814	0.0300153	0.0240118	0
DDB_G0293898	441	2159.8	2345.32	7088.89	6879.21	6679	5771.44	1463.84	1565.1
DDB_G0293900	3693	2.14817	1.37526	6.87526	7.83853	6.43576	6.99969	9.53151	8.7376
DDB_G0293902	9237	1.33908	0.930169	1.8793	2.29378	1.0415	1.08084	0.466656	0.420125
DDB_G0293904	1896	5.62418	4.60473	2.95887	1.56014	0.496104	0.632167	0.802257	0.962902
DDB_G0293906	318	1.68936	0.258924	1.86668	20.2244	6.23222	2.55247	7.79177	8.27567
DDB_G0293910	318	4.22341	3.88386	3.73336	35.7538	17.7618	10.5745	15.2839	13.8913
DDB_G0293912	9294	2.00549	1.41085	0.307667	0.305799	0.0932429	0.0853399	0.11394	0.108351
DDB_G0293914	2556	4.25276	2.64315	6.94457	8.22139	3.44841	3.64288	2.26069	2.43753
DDB_G0293916	3510	0.890284	0.595862	4.23878	3.80724	0.978836	1.23048	0.57949	0.53593
DDB_G0293918	3813	0.11843	0.040983	0.605752	0.735268	0.391004	0.514597	0.18272	0.22351
DDB_G0293920	2586	8.2195	7.09123	10.621	10.942	29.1309	30.7769	43.5821	48.7428
DDB_G0293922	1146	0.610089	0.681587	0.54177	0.383846	0.252864	0.228198	0.232611	0.123381
DDB_G0293924	2661	2.842	2.06863	40.9768	51.9853	32.271	34.5021	43.943	51.8357
DDB_G0293926	1497	0.244491	0.0379153	0.35129	0.305991	0.0697465	0.150407	0.0515683	0.0634631
DDB_G0293930	960	2.65186	1.6443	9.81784	8.46006	4.25417	4.62863	7.83804	8.21321
DDB_G0293932	2781	2.10742	1.47565	3.18893	3.00124	1.89903	2.40047	6.06218	7.92715
DDB_G0293934	5142	4.86901	3.58978	13.624	13.2762	8.19744	11.474	35.1188	51.3128
DDB_G0293936	3078	1.75317	0.91683	5.37809	5.27136	3.5578	3.82639	1.60371	1.45977
DDB_G0293938	1788	7.30711	5.77198	23.7557	32.7509	17.2936	17.5621	5.40083	3.3392
DDB_G0293940	1017	0.0559597	0.0610139	0.132565	0.518036	0.7962	1.26571	1.41905	1.35718
DDB_G0293942	4677	0.951025	0.598268	20.7242	28.0863	19.4157	21.7241	13.6684	16.7624
DDB_G0293944	390	7.71431	2.34142	3.52328	4.52288	0.119939	0.339141	0.207041	0.308207
DDB_G0293946	426	27.288	12.6548	7.16567	7.54931	5.50992	3.35054	2.822	2.79548
DDB_G0293948	2451	0.0666426	0.0216359	0.981043	0.903623	0.481071	0.372136	0.161182	0.309977
DDB_G0293950	972	1.36408	1.25105	0.843119	0.674739	0.169249	0.212267	0.531679	0.78597
DDB_G0293954	576	0.58441	0.692891	5.80581	8.4607	4.43041	5.87512	1.30513	1.52804
DDB_G0293956	354	129.361	119.966	33.1527	29.8905	15.1011	20.8034	23.7935	20.4093
DDB_G0293958	4779	1.06676	0.628038	1.08847	1.11992	0.425081	0.400082	0.224978	0.233407
DDB_G0293962	159	1.14133	0	1.14413	0.67992	0	0	0	1.33701
DDB_G0293964	3180	0.027008	0.0242395	0.0655173	0.022639	0.0419177	0	0	0
